Adress,Educational Institute,Restaurants,Medical Service,Parks
"1st Colony, Mirpur, Dhaka",28,12,24,16
"22 Bari, West Kazipara, Mirpur, Dhaka",47,50,6,18
"2nd Colony, Mirpur, Dhaka",15,24,2,13
"2nd Lane, Gopibag, Motijheel, Dhaka",9,15,1,17
"3rd Colony, Mirpur, Dhaka",24,29,5,12
"Aainusbag, Dakshin Khan, Dhaka",29,20,0,5
"Abdullahbag, Uttar Badda, Badda, Dhaka",50,50,50,16
"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",39,33,49,21
"Abur Tek, Khilkhet, Dhaka",4,8,0,6
"Adabor, Dhaka",35,48,24,30
"Adarsha Nagar, Badda, Dhaka",50,50,50,13
"Adarsha Para, Uttar Khan, Dhaka",23,5,2,4
"Adarshabag, Matuail, Demra, Dhaka",4,7,0,1
"Aftab Nagar, Dhaka",4,5,2,4
"Agargaon, Dhaka",28,18,21,29
"Ahmed Nagar, Mirpur, Dhaka",29,24,7,16
"Ahmedbag, Sabujbag, South Bashabo, Bashabo, Dhaka",39,25,8,30
"Ahmednagar, Sarulia, Demra, Dhaka",0,0,0,2
"Alambag, Notun Jurain, Jurain, Shyampur, Dhaka",6,7,1,4
"Ali And Nur Real Estate, Mohammadpur, Dhaka",50,50,34,35
"Alu Bazar, Bangshal, Dhaka",50,50,9,50
"Ambagan, Nayatola, Maghbazar, Dhaka",50,0,8,33
"Amin Bazar, Savar, Dhaka",1,0,0,0
"Amligola, Lalbagh, Dhaka",50,41,1,38
"Amtola, Khilkhet, Dhaka",2,7,0,4
"Anandapur, Genda, Savar, Dhaka",3,21,9,3
"Anandapur, Savar, Dhaka",2,2,0,1
"Aragaon, Ashulia, Savar, Dhaka",2,2,0,1
"Arambag Residential Area, Mirpur, Dhaka",50,50,17,23
"Arambag Residential Area, Pallabi, Mirpur, Dhaka",50,26,6,13
"Arambagh, Motijheel, Dhaka",34,50,9,48
"Arifabad Housing Society, Pallabi, Mirpur, Dhaka",50,26,6,13
"Arjatpara, Tejgaon, Dhaka",16,44,12,15
"Armanitola, Naya Bazar, Bangshal, Dhaka",44,50,6,50
"Army Housing Society Road, Moushair, Dakshin Khan, Dhaka",22,6,2,5
"Arsin Gate, Faridabad, Shyampur, Dhaka",47,50,6,28
"Ashkona, Dakshin Khan, Dhaka",26,38,0,8
"Ashulia, Savar, Dhaka",2,2,0,1
"Atipara, Uttar Khan, Dhaka",9,0,2,3
"Atish Deepankar Road, Bashabo, Dhaka",42,50,11,38
"Avenue 1, Mirpur DOHS, Mirpur, Dhaka",50,43,7,14
"Avenue 10, Mirpur DOHS, Mirpur, Dhaka",38,35,3,18
"Avenue 11, Mirpur DOHS, Mirpur, Dhaka",38,35,3,12
"Avenue 12, Mirpur DOHS, Mirpur, Dhaka",38,35,3,12
"Avenue 2, Block A, Section 11, Mirpur, Dhaka",50,50,19,28
"Avenue 2, Block A, Section 13, Mirpur, Dhaka",50,50,15,19
"Avenue 2, Block C, Section 13, Mirpur, Dhaka",50,50,15,25
"Avenue 2, Mirpur DOHS, Mirpur, Dhaka",38,35,3,12
"Avenue 2, Section 11, Mirpur, Dhaka",50,50,25,50
"Avenue 2A, Mirpur DOHS, Mirpur, Dhaka",38,35,3,12
"Avenue 3, Block A, Section 11, Mirpur, Dhaka",50,50,21,50
"Avenue 3, Block B, Section 11, Mirpur, Dhaka",32,50,11,26
"Avenue 3, Mirpur DOHS, Mirpur, Dhaka",50,37,3,13
"Avenue 4, Mirpur DOHS, Mirpur, Dhaka",38,35,6,13
"Avenue 5, Block C, Section 11, Mirpur, Dhaka",50,50,19,28
"Avenue 5, Mirpur DOHS, Mirpur, Dhaka",38,37,3,13
"Avenue 6, Mirpur DOHS, Mirpur, Dhaka",38,37,3,13
"Avenue 7, Mirpur DOHS, Mirpur, Dhaka",38,35,3,12
"Avenue 8, Mirpur DOHS, Mirpur, Dhaka",50,37,3,13
"Avenue 9, Mirpur DOHS, Mirpur, Dhaka",38,35,3,12
"Azimpur, Lalbagh, Dhaka",50,50,1,50
"aziz Moholla, Mohammadpur, Dhaka",50,39,50,50
"Badda, Dhaka",50,50,50,16
"Badda, Savar, Dhaka",5,45,17,0
"Bagan Bari, Cantonment, Dhaka",17,13,3,24
"Bagbari, Hemayetpur, Savar, Dhaka",5,6,1,1
"Bahir Tengra, Sarulia, Demra, Dhaka",0,0,0,2
"Baigertek, Cantonment, Dhaka",5,28,1,8
"Baipail, Ashulia, Savar, Dhaka",2,2,0,1
"Baithakali, Badda, Dhaka",11,29,28,9
"Baitul Aman Housing Society, Adabor, Dhaka",35,48,24,30
"Bakshi Bazar, Lalbagh, Dhaka",50,50,4,50
"Balughat, Cantonment, Dhaka",16,9,2,18
"Bamoil, Sarulia, Demra, Dhaka",0,0,0,2
"Banani DOHS, Dhaka",50,50,50,50
"Banani, Dhaka",50,0,50,36
"Banasree, Dhaka",5,7,2,4
"Bangla Bazar, Nischintapur, Ashulia, Savar, Dhaka",2,2,0,1
"Banglamotors, Dhaka",50,50,20,50
"Bangshal, Dhaka",50,50,8,50
